Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,6,裏,3,2,2,-,○,○,堀 紫央,北陸大学,右,小倉隆貴,福井工業大学,左,ストレート,,14,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,3,2,2,-,○,○,堀 紫央,北陸大学,右,小倉隆貴,福井工業大学,左,ストレート,,11,真ん中,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2025/10/4,6,裏,0,0,2,○,○,○,吉野京士郎,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,0,2,○,○,○,吉野京士郎,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,1,2,○,○,○,吉野京士郎,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,1,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,裏,1,2,2,○,○,○,吉野京士郎,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,裏,2,2,2,○,○,○,吉野京士郎,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,4,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,M2
2025/10/4,7,表,0,0,0,-,-,-,中本伸太朗,福井工業大学,右,沢出絃徳,北陸大学,左,ストレート,,8,,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,s5
2025/10/4,7,表,0,0,1,-,-,-,中本伸太朗,福井工業大学,右,中村康太,北陸大学,右,スライダー,,6,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,T3
2025/10/4,7,表,0,0,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,7,表,1,0,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,ストレート,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,7,表,1,1,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,カーブ,,8,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,7,表,1,2,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,ストレート,,6,外角,見逃し,1,1,1,0,0,見逃し三振,-,,,,1,0,0,0,
2025/10/4,7,裏,0,0,0,-,-,-,吉野京士郎,北陸大学,右,濱口凌輔,福井工業大学,左,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
